trial,span-norm,depth-norm,theta-norm,opt-span-norm,opt-depth-norm,opt-theta-norm
barrett_noRotate_up,-0.016,0.346,3.5295,0.0,0.346,0
barrett_noRotate_up-right,0.127,0.17,2.3365,0.199,0.142,0
barrett_noRotate_right,0.515,-0.012,2.362,0.515,0.0,0
barrett_noRotate_down-right,0.634,-0.481,0.5845,0.666,0.477,0
barrett_noRotate_down,-0.004,-0.307,2.2905,0.0,-0.307,0
barrett_noRotate_down-left,-0.685,-0.53,2.311,0.722,0.516,0
barrett_noRotate_left,-0.502,-0.221,12.707999999999998,-0.502,0.0,0
barrett_noRotate_up-left,-0.189,0.146,4.106,0.202,0.145,0
barrett_noRotate_rotate-clockwise,0.036,-0.084,24.0575,0.0,0.0,24.058
barrett_noRotate_rotate-counterClockwise,-0.1,-0.043,18.7835,0.0,0.0,18.784
barrett_rotateLeft_up,0.01,0.219,0.0,0.0,0.219,15
barrett_rotateLeft_up-right,0.214,0.109,4.0655,0.27,0.193,15
barrett_rotateLeft_right,0.571,-0.147,2.9130000000000003,0.571,0.0,15
barrett_rotateLeft_down-right,0.677,-0.486,2.387,0.695,0.498,15
barrett_rotateLeft_down,0.018,-0.293,1.193,0.0,-0.293,15
barrett_rotateLeft_down-left,-0.754,-0.362,5.2165,0.699,0.5,15
barrett_rotateLeft_left,-0.569,-0.063,1.169,-0.569,0.0,15
barrett_rotateLeft_up-left,-0.168,0.173,4.7295,0.219,0.156,15
barrett_rotateRight_up,0.043,0.178,4.171,0.0,0.178,15
barrett_rotateRight_up-right,0.075,0.181,10.213000000000001,0.188,0.134,15
barrett_rotateRight_right,0.555,-0.032,6.9815000000000005,0.555,0.0,15
barrett_rotateRight_down-right,0.619,-0.491,5.3155,0.638,0.457,15
barrett_rotateRight_down,-0.029,-0.203,1.7775,0.0,-0.203,15
barrett_rotateRight_down-left,-0.52,-0.59,8.6915,0.633,0.453,15
barrett_rotateRight_left,-0.556,-0.081,1.73,-0.556,0.0,15
