trial,span,depth,theta,ideal-span,ideal-depth,ideal-theta,magnitude
barrett_1_noRotate_up,-0.023,0.357,2.386,0.0,0.357,0,0.358
barrett_2_noRotate_up,-0.008,0.335,4.673,0.0,0.335,0,0.335
barrett_1_noRotate_up-right,0.128,0.113,0.0,0.137,0.098,0,0.171
barrett_2_noRotate_up-right,0.126,0.228,4.673,0.26,0.186,0,0.26
barrett_1_noRotate_right,0.553,0.007,1.169,0.553,0.0,0,0.553
barrett_2_noRotate_right,0.477,-0.031,3.555,0.477,0.0,0,0.478
barrett_1_noRotate_down-right,0.697,-0.617,0.0,0.754,0.54,0,0.931
barrett_2_noRotate_down-right,0.572,-0.345,1.169,0.578,0.414,0,0.668
barrett_1_noRotate_down,0.009,-0.276,0.0,0.0,-0.276,0,0.276
barrett_2_noRotate_down,-0.017,-0.337,4.581,0.0,-0.337,0,0.337
barrett_1_noRotate_down-left,-0.71,-0.45,2.284,0.722,0.517,0,0.841
barrett_2_noRotate_down-left,-0.66,-0.609,2.338,0.721,0.516,0,0.898
barrett_1_noRotate_left,-0.505,-0.074,4.574,-0.505,0.0,0,0.51
barrett_2_noRotate_left,-0.5,-0.367,20.842,-0.5,0.0,0,0.62
barrett_1_noRotate_up-left,-0.167,0.138,2.386,0.174,0.125,0,0.217
barrett_2_noRotate_up-left,-0.211,0.155,5.826,0.23,0.165,0,0.262
barrett_1_noRotate_rotate-clockwise,-0.08,-0.073,16.26,0.0,0.0,16.26,0.108
barrett_2_noRotate_rotate-clockwise,0.152,-0.095,31.855,0.0,0.0,31.855,0.179
barrett_1_noRotate_rotate-counterClockwise,-0.031,-0.037,14.292,0.0,0.0,14.292,0.048
barrett_2_noRotate_rotate-counterClockwise,-0.168,-0.049,23.275,0.0,0.0,23.275,0.175
barrett_1_rotateLeft_up,-0.025,0.175,0.0,0.0,0.175,15,0.177
barrett_2_rotateLeft_up,0.044,0.264,0.0,0.0,0.264,15,0.268
barrett_1_rotateLeft_up-right,0.188,0.12,2.388,0.294,0.21,15,0.223
barrett_2_rotateLeft_up-right,0.24,0.097,5.743,0.246,0.176,15,0.259
barrett_1_rotateLeft_right,0.553,-0.151,1.169,0.553,0.0,15,0.573
barrett_2_rotateLeft_right,0.589,-0.143,4.657,0.589,0.0,15,0.606
barrett_1_rotateLeft_down-right,0.714,-0.54,1.219,0.725,0.519,15,0.895
barrett_2_rotateLeft_down-right,0.64,-0.431,3.555,0.665,0.476,15,0.772
barrett_1_rotateLeft_down,-0.03,-0.244,1.169,0.0,-0.244,15,0.246
barrett_2_rotateLeft_down,0.066,-0.342,1.217,0.0,-0.342,15,0.348
barrett_1_rotateLeft_down-left,-0.753,-0.374,4.607,0.705,0.505,15,0.841
barrett_2_rotateLeft_down-left,-0.755,-0.35,5.826,0.692,0.495,15,0.832
barrett_1_rotateLeft_left,-0.571,-0.053,1.169,-0.571,0.0,15,0.573
barrett_2_rotateLeft_left,-0.566,-0.072,1.169,-0.566,0.0,15,0.571
barrett_1_rotateLeft_up-left,-0.134,0.152,7.125,0.211,0.151,15,0.203
barrett_2_rotateLeft_up-left,-0.201,0.194,2.334,0.226,0.162,15,0.279
barrett_1_rotateRight_up,0.02,0.127,5.956,0.0,0.127,15,0.129
barrett_2_rotateRight_up,0.065,0.23,2.386,0.0,0.23,15,0.239
barrett_1_rotateRight_up-right,0.072,0.159,17.021,0.174,0.125,15,0.175
barrett_2_rotateRight_up-right,0.077,0.202,3.405,0.201,0.144,15,0.216
barrett_1_rotateRight_right,0.565,0.003,1.169,0.565,0.0,15,0.565
barrett_2_rotateRight_right,0.546,-0.068,12.794,0.546,0.0,15,0.55
barrett_1_rotateRight_down-right,0.717,-0.585,1.169,0.746,0.534,15,0.925
barrett_2_rotateRight_down-right,0.521,-0.397,9.462,0.531,0.38,15,0.655
barrett_1_rotateRight_down,-0.013,-0.127,1.169,0.0,-0.127,15,0.128
barrett_2_rotateRight_down,-0.045,-0.28,2.386,0.0,-0.28,15,0.284
barrett_1_rotateRight_down-left,-0.619,-0.661,2.292,0.723,0.517,15,0.906
barrett_2_rotateRight_down-left,-0.421,-0.518,15.091,0.544,0.389,15,0.668
barrett_1_rotateRight_left,-0.45,0.028,1.169,-0.45,0.0,15,0.451
barrett_2_rotateRight_left,-0.662,-0.191,2.291,-0.662,0.0,15,0.689
barrett_1_rotateRight_up-left,-0.179,0.127,2.338,0.181,0.129,15,0.219
barrett_2_rotateRight_up-left,-0.225,0.196,4.574,0.364,0.26,15,0.298
modelO-rubber_1_noRotate_up,-0.095,0.371,0.04,0.0,0.371,0,0.383
modelO-rubber_2_noRotate_up,0.0,0.292,4.764,0.0,0.292,0,0.292
modelO-rubber_1_noRotate_up-right,0.175,0.258,2.489,0.281,0.16,0,0.312
modelO-rubber_2_noRotate_up-right,0.243,0.343,0.04,0.419,0.239,0,0.42
modelO-rubber_1_noRotate_right,0.729,-0.155,16.927,0.729,0.0,0,0.745
modelO-rubber_2_noRotate_right,0.686,0.08,7.291,0.686,0.0,0,0.691
modelO-rubber_1_noRotate_down-right,0.961,-0.362,19.179,0.909,0.518,0,1.027
modelO-rubber_2_noRotate_down-right,0.955,-0.056,26.461,0.848,0.483,0,0.957
modelO-rubber_1_noRotate_down,0.025,-0.519,0.04,0.0,-0.519,0,0.52
modelO-rubber_2_noRotate_down,-0.07,-0.344,0.04,0.0,-0.344,0,0.351
modelO-rubber_1_noRotate_down-left,-1.279,-0.104,39.067,1.093,0.622,0,1.283
modelO-rubber_2_noRotate_down-left,-1.355,-0.073,43.831,1.155,0.658,0,1.357
modelO-rubber_1_noRotate_left,-0.98,-0.009,11.768,-0.98,0.0,0,0.98
modelO-rubber_2_noRotate_left,-0.722,0.14,11.768,-0.722,0.0,0,0.735
modelO-rubber_1_noRotate_up-left,-0.338,0.169,0.02,0.707,0.402,0,0.378
modelO-rubber_2_noRotate_up-left,-0.354,0.156,10.408,0.471,0.268,0,0.387
modelO-rubber_1_noRotate_rotate-clockwise,0.096,0.169,26.565,0.0,0.0,26.565,0.194
