trial,span-norm,depth-norm,theta-norm,opt-span-norm,opt-depth-norm,opt-theta-norm,Differance
barrett_1_noRotate_up,-0.023,0.357,2.386,0,0.357,0,0.0646435559525847
barrett_2_noRotate_up,-0.008,0.335,4.673,0,0.335,0,0.08955923594569501
barrett_1_noRotate_up-right,0.128,0.113,0,0.137,0.098,0,0.017492855684535905
barrett_2_noRotate_up-right,0.126,0.228,4.673,0.26,0.186,0,0.2219871533980307
barrett_1_noRotate_right,0.553,0.007,1.169,0.553,0,0,0.02740289895581371
barrett_2_noRotate_right,0.477,-0.031,3.555,0.477,0,0,0.09304645490839843
barrett_1_noRotate_down-right,0.697,-0.617,0,0.754,0.54,0,1.1584032113215157
barrett_2_noRotate_down-right,0.572,-0.345,1.169,0.578,0.414,0,0.7794266140003436
barrett_1_noRotate_down,0.009,-0.276,0,0,-0.276,0,0.009
barrett_2_noRotate_down,-0.017,-0.337,4.581,0,-0.337,0,0.09695353303386024
barrett_1_noRotate_down-left,-0.71,-0.45,2.284,0.722,0.517,0,1.7677849039844482
barrett_2_noRotate_down-left,-0.66,-0.609,2.338,0.721,0.516,0,1.8220373943077839
barrett_1_noRotate_left,-0.505,-0.074,4.574,-0.505,0,0,0.15383135998622063
barrett_2_noRotate_left,-0.5,-0.367,20.842,-0.5,0,0,0.7307615227006581
barrett_1_noRotate_up-left,-0.167,0.138,2.386,0.174,0.125,0,0.38289126656761574
barrett_2_noRotate_up-left,-0.211,0.155,5.826,0.23,0.165,0,0.5427962463352233
barrett_1_noRotate_rotate-clockwise,-0.08,-0.073,16.26,0,0,16.26,0.10830050784737807
barrett_2_noRotate_rotate-clockwise,0.152,-0.095,31.855,0,0,31.855,0.17924564150907546
barrett_1_noRotate_rotate-counterClockwise,-0.031,-0.037,14.292,0,0,14.292,0.048270073544588676
barrett_2_noRotate_rotate-counterClockwise,-0.168,-0.049,23.275,0,0,23.275,0.17500000000000002
barrett_1_rotateLeft_up,-0.025,0.175,0,0,0.175,15,0.28679938779914943
barrett_2_rotateLeft_up,0.044,0.264,0,0,0.264,15,0.3057993877991494
barrett_1_rotateLeft_up-right,0.188,0.12,2.388,0.294,0.21,15,0.35917487162767436
barrett_2_rotateLeft_up-right,0.24,0.097,5.743,0.246,0.176,15,0.2407926493282241
barrett_1_rotateLeft_right,0.553,-0.151,1.169,0.553,0,15,0.3923964888433357
barrett_2_rotateLeft_right,0.589,-0.143,4.657,0.589,0,15,0.3235194045337735
barrett_1_rotateLeft_down-right,0.714,-0.54,1.219,0.725,0.519,15,1.2995809520437842
barrett_2_rotateLeft_down-right,0.64,-0.431,3.555,0.665,0.476,15,1.10709740992249
barrett_1_rotateLeft_down,-0.03,-0.244,1.169,0,-0.244,15,0.2713964888433357
barrett_2_rotateLeft_down,0.066,-0.342,1.217,0,-0.342,15,0.30655873080237844
barrett_1_rotateLeft_down-left,-0.753,-0.374,4.607,0.705,0.505,15,1.8838623332172666
barrett_2_rotateLeft_down-left,-0.755,-0.35,5.826,0.692,0.495,15,1.8357757788193907
barrett_1_rotateLeft_left,-0.571,-0.053,1.169,-0.571,0,15,0.29439648884333575
barrett_2_rotateLeft_left,-0.566,-0.072,1.169,-0.566,0,15,0.3133964888433357
barrett_1_rotateLeft_up-left,-0.134,0.152,7.125,0.211,0.151,15,0.4824461278668717
barrett_2_rotateLeft_up-left,-0.201,0.194,2.334,0.226,0.162,15,0.6492607874494264
barrett_1_rotateRight_up,0.02,0.127,5.956,0,0.127,15,0.17784757755036712
barrett_2_rotateRight_up,0.065,0.23,2.386,0,0.23,15,0.2851558318465647
barrett_1_rotateRight_up-right,0.072,0.159,17.021,0.174,0.125,15,0.14279054462853033
barrett_2_rotateRight_up-right,0.077,0.202,3.405,0.201,0.144,15,0.3392650464379234
barrett_1_rotateRight_right,0.565,0.003,1.169,0.565,0,15,0.24439648884333573
barrett_2_rotateRight_right,0.546,-0.068,12.794,0.546,0,15,0.10650196329899492
barrett_1_rotateRight_down-right,0.717,-0.585,1.169,0.746,0.534,15,1.3607722077152433
barrett_2_rotateRight_down-right,0.521,-0.397,9.462,0.531,0.38,15,0.8737206813753252
barrett_1_rotateRight_down,-0.013,-0.127,1.169,0,-0.127,15,0.2543964888433357
barrett_2_rotateRight_down,-0.045,-0.28,2.386,0,-0.28,15,0.2651558318465647
barrett_1_rotateRight_down-left,-0.619,-0.661,2.292,0.723,0.517,15,2.0074750238436607
barrett_2_rotateRight_down-left,-0.421,-0.518,15.091,0.544,0.389,15,1.325927330066615
barrett_1_rotateRight_left,-0.45,0.028,1.169,-0.45,0,15,0.2693964888433357
barrett_2_rotateRight_left,-0.662,-0.191,2.291,-0.662,0,15,0.4128138946359593
barrett_1_rotateRight_up-left,-0.179,0.127,2.338,0.181,0.129,15,0.5809991454002112
barrett_2_rotateRight_up-left,-0.225,0.196,4.574,0.364,0.26,15,0.7744349045241927
modelO-rubber_1_noRotate_up,-0.095,0.371,0.04,0,0.371,0,0.09569813170079773
modelO-rubber_2_noRotate_up,0,0.292,4.764,0,0.292,0,Differance
modelO-rubber_1_noRotate_up-right,0.175,0.258,2.489,0.281,0.16,0,0.18780190454308762
modelO-rubber_2_noRotate_up-right,0.243,0.343,0.04,0.419,0.239,0,0.20512904912768795
modelO-rubber_1_noRotate_right,0.729,-0.155,16.927,0.729,0,0,0.45043188248508015
modelO-rubber_2_noRotate_right,0.686,0.08,7.291,0.686,0,0,0.20725195576290656
modelO-rubber_1_noRotate_down-right,0.961,-0.362,19.179,0.909,0.518,0,1.2162717220688417
modelO-rubber_2_noRotate_down-right,0.955,-0.056,26.461,0.848,0.483,0,1.0113495439589892
modelO-rubber_1_noRotate_down,0.025,-0.519,0.04,0,-0.519,0,0.025698131700797735
modelO-rubber_2_noRotate_down,-0.07,-0.344,0.04,0,-0.344,0,0.07069813170079774
modelO-rubber_1_noRotate_down-left,-1.279,-0.104,39.067,1.093,0.622,0,3.1624646376438146
modelO-rubber_2_noRotate_down-left,-1.355,-0.073,43.831,1.155,0.658,0,3.3792754713054665
modelO-rubber_1_noRotate_left,-0.98,-0.009,11.768,-0.98,0,0,0.21439034637469273
modelO-rubber_2_noRotate_left,-0.722,0.14,11.768,-0.722,0,0,0.34539034637469274
modelO-rubber_1_noRotate_up-left,-0.338,0.169,0.02,0.707,0.402,0,1.0710096096269965
modelO-rubber_2_noRotate_up-left,-0.354,0.156,10.408,0.471,0.268,0,1.0142215835113437
modelO-rubber_1_noRotate_rotate-clockwise,0.096,0.169,26.565,0,0,26.565,0.19436306233438494
modelO-rubber_2_noRotate_rotate-clockwise,-0.186,-0.043,24.811,0,0,24.811,0.19090573590125573
modelO-rubber_1_noRotate_rotate-counterClockwise,0.008,-0.03,25.017,0,0,25.017,0.031048349392520047
modelO-rubber_2_noRotate_rotate-counterClockwise,-0.141,0.042,31.805,0,0,31.805,0.14712239802287072
modelO-rubber_1_rotateLeft_up,-0.026,0.261,1.169,0,0.261,15,0.2673964888433357
modelO-rubber_2_rotateLeft_up,-0.018,0.158,1.27,0,0.158,15,0.25763370629882143
modelO-rubber_1_rotateLeft_up-right,0.196,0.14,1.169,0.254,0.145,15,0.29961160715464724
modelO-rubber_2_rotateLeft_up-right,0.386,0.214,0,0.388,0.221,15,0.2690794976884299
modelO-rubber_1_rotateLeft_right,0.607,0.171,0.04,0.607,0,15,0.4321012560983517
modelO-rubber_2_rotateLeft_right,0.852,-0.011,10.84,0.852,0,15,0.08360569688296413
modelO-rubber_1_rotateLeft_down-right,1.221,-0.239,32.916,1.065,0.606,15,1.1719725380096626
modelO-rubber_2_rotateLeft_down-right,1.37,-0.01,36.87,1.175,0.669,15,1.0881495421512524
modelO-rubber_1_rotateLeft_down,-0.004,-0.416,6.995,0,-0.416,15,0.14371360662214608
modelO-rubber_2_rotateLeft_down,-0.028,-0.362,4.574,0,-0.362,15,0.2099680278129288
modelO-rubber_1_rotateLeft_down-left,-1.314,-0.08,38.882,1.126,0.641,15,2.961115308792274
modelO-rubber_2_rotateLeft_down-left,-1.105,-0.191,28.142,1.119,0.637,15,2.6025041206393213
modelO-rubber_1_rotateLeft_left,-0.672,-0.005,11.483,-0.672,0,15,0.06638322979264055
modelO-rubber_2_rotateLeft_left,-0.859,-0.111,9.511,-0.859,0,15,0.2068011226419688
modelO-rubber_1_rotateLeft_up-left,-0.217,0.029,1.219,0.25,0.142,15,0.7210006706938363
modelO-rubber_2_rotateLeft_up-left,-0.32,0.081,8.454,0.349,0.199,15,0.793576125555891
modelO-rubber_1_rotateRight_up,-0.036,0.146,1.27,0,0.146,15,0.27563370629882145
modelO-rubber_2_rotateRight_up,0.01,0.273,2.438,0,0.273,15,0.2292482606355277
modelO-rubber_1_rotateRight_up-right,0.128,0.134,1.219,0.346,0.197,15,0.46744451520870667
modelO-rubber_2_rotateRight_up-right,0.195,0.226,4.673,0.298,0.17,15,0.29747922383886377
modelO-rubber_1_rotateRight_right,0.593,0.121,1.169,0.593,0,15,0.36239648884333575
modelO-rubber_2_rotateRight_right,0.812,-0.018,10.408,0.812,0,15,0.09814551925157959
modelO-rubber_1_rotateRight_down-right,1.187,-0.145,33.366,1.047,0.596,15,1.0746565789290892
modelO-rubber_2_rotateRight_down-right,0.94,-0.275,44.395,0.84,0.478,15,1.2726506183243187
modelO-rubber_1_rotateRight_down,0.012,-0.273,1.167,0,-0.273,15,0.2534313954283756
modelO-rubber_2_rotateRight_down,-0.143,-0.525,9.189,0,-0.525,15,0.24442108283339048
modelO-rubber_1_rotateRight_down-left,-1.385,-0.084,41.024,1.188,0.676,15,3.1371001217191017
modelO-rubber_2_rotateRight_down-left,-1.36,-0.077,45,1.169,0.666,15,3.1594838262027443
modelO-rubber_1_rotateRight_left,-0.833,0.122,9.462,-0.833,0,15,0.21865633397544598
modelO-rubber_2_rotateRight_left,-0.776,-0.094,14.242,-0.776,0,15,0.10722959573011703
modelO-rubber_1_rotateRight_up-left,-0.3,0.209,8.471,0.322,0.183,15,0.7364957180564834
modelO-rubber_2_rotateRight_up-left,-0.308,0.248,14.432,0.348,0.198,15,0.6678161985238433
modelO-pin-noStopper_1_noRotate_up,0.044,0.349,1.169,0,0.349,0,0.0644028989558137
modelO-pin-noStopper_2_noRotate_up,-0.015,0.261,4.764,0,0.261,0,0.09814748556500988
modelO-pin-noStopper_1_noRotate_up-right,0.187,0.197,1.169,0.242,0.138,0,0.10106267827611683
modelO-pin-noStopper_2_noRotate_up-right,0.379,0.149,2.386,0.395,0.225,0,0.11930950730837511
modelO-pin-noStopper_1_noRotate_right,0.52,-0.032,0,0.52,0,0,0.032
modelO-pin-noStopper_2_noRotate_right,0.778,0.124,0,0.778,0,0,0.124
modelO-pin-noStopper_1_noRotate_down-right,0.658,-0.391,0,0.748,0.426,0,0.8219422120806303
modelO-pin-noStopper_2_noRotate_down-right,1.187,-0.179,34.992,1.025,0.583,0,1.3897557781543863
modelO-pin-noStopper_1_noRotate_down,0.007,-0.309,1.169,0,-0.309,0,0.02740289895581371
modelO-pin-noStopper_2_noRotate_down,0.017,-0.303,1.169,0,-0.303,0,0.03740289895581371
modelO-pin-noStopper_1_noRotate_down-left,-0.781,-0.402,5.826,0.763,0.435,0,1.857958771710082
modelO-pin-noStopper_2_noRotate_down-left,-1.468,-0.203,53.839,1.263,0.719,0,3.822105152680847
modelO-pin-noStopper_1_noRotate_left,-0.615,-0.116,1.123,-0.615,0,0,0.13560004749989632
modelO-pin-noStopper_2_noRotate_left,-0.641,-0.051,13.434,-0.641,0,0,0.2854675317129183
modelO-pin-noStopper_1_noRotate_up-left,-0.155,0.086,3.46,0.209,0.119,0,0.4258812101058967
modelO-pin-noStopper_2_noRotate_up-left,-0.318,0.275,11.768,0.39,0.222,0,0.9153713320355765
modelO-pin-noStopper_1_noRotate_rotate-clockwise,0.098,-0.058,19.604,0,0,19.604,0.11387712676389408
modelO-pin-noStopper_2_noRotate_rotate-clockwise,0.018,-0.038,26.67,0,0,26.67,0.04204759208325728
modelO-pin-noStopper_1_noRotate_rotate-counterClockwise,-0.035,0.057,26.764,0,0,26.764,0.06688796603276258
modelO-pin-noStopper_2_noRotate_rotate-counterClockwise,0.154,0.078,14.292,0,0,14.292,0.17262676501632068
modelO-pin-noStopper_1_rotateLeft_up,0.015,0.205,1.219,0,0.205,15,0.25552382421733855
modelO-pin-noStopper_2_rotateLeft_up,-0.013,0.14,1.219,0,0.14,15,0.25352382421733854
modelO-pin-noStopper_1_rotateLeft_up-right,0.225,0.209,11.768,0.299,0.17,15,0.14005711372740934
